date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-09-10,147.600006,148.339996,145.309998,146.039993,146.039993,2807600.0,2807600.0,-1.56001,-1.057,146.56333,"September 10, 20",-0.01057
2020-09-09,144.759995,148.600006,144.759995,147.550003,147.550003,3279300.0,3279300.0,2.79001,1.927,146.97,"September 09, 20",0.01927
2020-09-08,146.679993,146.789993,143.380005,144.0,144.0,3503200.0,3503200.0,-2.67999,-1.827,144.72333,"September 08, 20",-0.01827
2020-09-04,146.690002,148.550003,143.690002,147.229996,147.229996,4742100.0,4742100.0,0.53999,0.368,146.49,"September 04, 20",0.00368
2020-09-03,149.470001,149.979996,145.410004,146.029999,146.029999,4135300.0,4135300.0,-3.44,-2.301,147.14,"September 03, 20",-0.02301
2020-09-02,150.5,150.869995,148.419998,149.839996,149.839996,4128200.0,4128200.0,-0.66,-0.439,149.71,"September 02, 20",-0.00439
2020-09-01,150.610001,151.770004,150.119995,150.550003,150.550003,3604100.0,3604100.0,-0.06,-0.04,150.81333,"September 01, 20",-0.0004
2020-08-31,151.139999,151.910004,150.320007,151.210007,151.210007,3025600.0,3025600.0,0.07001,0.046,151.14667,"August 31, 20",0.00046
2020-08-28,150.309998,151.669998,149.600006,150.850006,150.850006,2835600.0,2835600.0,0.54001,0.359,150.70667,"August 28, 20",0.00359
2020-08-27,152.660004,152.75,149.669998,150.309998,150.309998,3773100.0,3773100.0,-2.35001,-1.539,150.91,"August 27, 20",-0.01539
2020-08-26,152.75,153.570007,152.089996,152.710007,152.710007,3061600.0,3061600.0,-0.03999,-0.026,152.79,"August 26, 20",-0.00026
2020-08-25,154.149994,154.279999,152.360001,152.850006,152.850006,2984400.0,2984400.0,-1.29999,-0.843,153.16334,"August 25, 20",-0.00843
2020-08-24,154.5,154.619995,152.630005,153.240005,153.240005,4355300.0,4355300.0,-1.26,-0.816,153.49667,"August 24, 20",-0.00816
2020-08-21,152.330002,155.610001,152.130005,153.630005,153.630005,7061400.0,7061400.0,1.3,0.853,153.79,"August 21, 20",0.00853
2020-08-20,154.929993,156.100006,151.720001,152.240005,152.240005,12046000.0,12046000.0,-2.68999,-1.736,153.35334,"August 20, 20",-0.01736
2020-08-19,148.5,154.690002,146.539993,154.220001,154.220001,40211800.0,40211800.0,5.72,3.852,151.81667,"August 19, 20",0.03852
2020-08-18,137.009995,137.970001,134.669998,136.899994,136.899994,5756800.0,5756800.0,-0.11,-0.08,136.51333,"August 18, 20",-0.0008
2020-08-17,137.979996,138.690002,137.399994,138.240005,137.559998,4632300.0,4632300.0,0.26001,0.188,138.11,"August 17, 20",0.00188
2020-08-14,135.919998,137.0,135.220001,136.529999,135.858414,3180900.0,3180900.0,0.61,0.449,136.25,"August 14, 20",0.00449
2020-08-13,133.990005,134.940002,133.610001,134.809998,134.146866,2324800.0,2324800.0,0.81999,0.612,134.45333,"August 13, 20",0.00612
2020-08-12,135.110001,135.110001,132.770004,134.600006,133.937912,4863300.0,4863300.0,-0.51,-0.377,134.16,"August 12, 20",-0.00377
2020-08-11,133.710007,134.589996,131.350006,131.720001,131.072067,3915900.0,3915900.0,-1.99001,-1.488,132.55333,"August 11, 20",-0.01488
2020-08-10,132.070007,134.110001,131.25,132.940002,132.286072,3002900.0,3002900.0,0.86999,0.659,132.76667,"August 10, 20",0.00659
2020-08-07,128.5919,131.2319,128.3519,131.1019,131.1019,2300500.0,2300500.0,2.51,1.952,130.22857,"August 07, 20",0.01952
2020-08-06,128.8654,129.2954,127.4954,128.3754,128.3754,1979900.0,1979900.0,-0.49,-0.38,128.38873,"August 06, 20",-0.0038
2020-08-05,130.1136,131.2936,128.0236,128.7336,128.7336,3692300.0,3692300.0,-1.38,-1.061,129.35027,"August 05, 20",-0.01061
2020-08-04,127.2883,130.1283,126.9383,129.8083,129.8083,3924500.0,3924500.0,2.52,1.98,128.9583,"August 04, 20",0.0198
2020-08-03,126.5,128.24,125.6212,127.2112,127.2112,6638400.0,6638400.0,0.7112,0.562,127.02413,"August 03, 20",0.00562
2020-07-31,123.6608,125.3108,123.1708,125.2608,125.2608,3268100.0,3268100.0,1.6,1.294,124.5808,"July 31, 20",0.01294
2020-07-30,121.7172,124.8072,121.2072,123.9672,123.9672,3606300.0,3606300.0,2.25,1.849,123.3272,"July 30, 20",0.01849
2020-07-29,122.8616,123.8716,122.2916,123.0716,123.0716,2095800.0,2095800.0,0.21,0.171,123.07827,"July 29, 20",0.00171
2020-07-28,122.0035,123.8535,121.5135,122.6835,122.6835,2337000.0,2337000.0,0.68,0.557,122.6835,"July 28, 20",0.00557
2020-07-27,124.25,124.49,121.5565,122.0865,122.0865,4846800.0,4846800.0,-2.1635,-1.741,122.711,"July 27, 20",-0.01741
2020-07-24,121.9315,124.9215,121.4515,123.1015,123.1015,3832900.0,3832900.0,1.17,0.96,123.15817,"July 24, 20",0.0096
2020-07-23,122.8482,122.9982,121.3382,121.7482,121.7482,3267500.0,3267500.0,-1.1,-0.895,122.0282,"July 23, 20",-0.00895
2020-07-22,119.6943,122.5743,119.3943,122.5343,122.5343,3876600.0,3876600.0,2.84,2.373,121.50097,"July 22, 20",0.02373
2020-07-21,119.7587,120.3987,119.4287,119.6087,119.6087,3195400.0,3195400.0,-0.15,-0.125,119.81203,"July 21, 20",-0.00125
2020-07-20,120.9506,121.2806,118.4506,119.2306,119.2306,3825900.0,3825900.0,-1.72,-1.422,119.65393,"July 20, 20",-0.01422
2020-07-17,122.0415,122.6115,120.8515,121.0715,121.0715,2715500.0,2715500.0,-0.97,-0.795,121.5115,"July 17, 20",-0.00795
