date,target,djia,sp500
2015-09-01,64.45,,
2015-09-02,65.87,,
2015-09-03,66.21,16374.759766,1951.130005
2015-09-04,65.33,16102.379883,1921.219971
2015-09-08,67.01,16492.679688,1969.410034
2015-09-09,65.96,16253.570313,1942.040039
2015-09-10,65.89,16330.400391,1952.290039
2015-09-11,66.58,16433.089844,1961.050049
2015-09-14,65.96,16370.959961,1953.030029
2015-09-15,66.53,16599.849609,1978.089966
2015-09-16,67.11,16739.949219,1995.310059
2015-09-17,66.69,16674.740234,1990.199951
2015-09-18,65.5,16384.580078,1958.030029
2015-09-21,66.91,16510.189453,1966.969971
2015-09-22,66.73,16330.469727,1942.73999
2015-09-23,67.33,16279.889648,1938.76001
2015-09-24,67.59,16201.320313,1932.23999
2015-09-25,67.58,16314.669922,1931.339966
2015-09-28,66.4,16001.889648,1881.77002
2015-09-29,66.67,16049.129883,1884.089966
2015-09-30,67.25,16284.700195,1920.030029
2015-10-01,67.97,16272.009766,1923.819946
2015-10-02,67.99,16472.369141,1951.359985
2015-10-05,67.97,16776.429688,1987.050049
2015-10-06,66.77,16790.189453,1979.920044
2015-10-07,67.16,16912.289063,1995.829956
2015-10-08,67.27,17050.75,2013.430054
2015-10-09,67.44,17084.490234,2014.890015
2015-10-12,67.72,17131.859375,2017.459961
2015-10-13,67.5,17081.890625,2003.689941
2015-10-14,65.14,16924.75,1994.23999
2015-10-15,64.23,17141.75,2023.859985
2015-10-16,64.16,17215.970703,2033.109985
2015-10-19,63.86,17230.539063,2033.660034
2015-10-20,63.61,17217.109375,2030.77002
2015-10-21,65.32,17168.609375,2018.939941
2015-10-22,65.92,17489.160156,2052.51001
2015-10-23,62.36,17646.699219,2075.149902
2015-10-26,63.28,17623.050781,2071.179932
2015-10-27,63.89,17581.429688,2065.889893
2015-10-28,65.17,17779.519531,2090.350098
2015-10-29,65.21,17755.800781,2089.409912
2015-10-30,65.98,17663.539063,2079.360107
2015-11-02,66.05,17828.759766,2104.050049
2015-11-03,66.88,17918.150391,2109.790039
2015-11-04,66.16,17867.580078,2102.310059
2015-11-05,66.81,17863.429688,2099.929932
2015-11-06,66.02,17910.330078,2099.199951
2015-11-09,65.17,17730.480469,2078.580078
2015-11-10,65.99,17758.210938,2081.719971
2015-11-11,64.01,17702.220703,2075.0
2015-11-12,64.06,17448.070313,2045.969971
2015-11-13,61.46,17245.240234,2023.040039
2015-11-16,62.3,17483.009766,2053.189941
2015-11-17,62.82,17489.5,2050.439941
2015-11-18,60.12,17737.160156,2083.580078
2015-11-19,60.79,17732.75,2081.23999
2015-11-20,61.03,17823.810547,2089.169922
2015-11-23,62.28,17792.679688,2086.590088
2015-11-24,62.8,17812.189453,2089.139893
2015-11-25,63.04,17813.390625,2088.870117
2015-11-27,63.28,17813.390625,2090.110107
2015-11-30,62.47,17719.919922,2080.409912
2015-12-01,62.73,17888.349609,2102.629883
2015-12-02,61.98,17729.679688,2079.51001
2015-12-03,63.06,17477.669922,2049.620117
2015-12-04,63.67,17847.630859,2091.689941
2015-12-07,63.23,17730.509766,2077.070068
2015-12-08,62.61,17568.0,2063.590088
2015-12-09,62.05,17492.300781,2047.619995
2015-12-10,62.36,17574.75,2052.22998
2015-12-11,61.9,17265.210938,2012.369995
2015-12-14,62.66,17368.5,2021.939941
2015-12-15,62.88,17524.910156,2043.410034
2015-12-16,63.59,17749.089844,2073.070068
2015-12-17,62.32,17495.839844,2041.890015
2015-12-18,61.49,17128.550781,2005.550049
2015-12-21,61.79,17251.619141,2021.150024
2015-12-22,62.56,17417.269531,2038.969971
2015-12-23,63.46,17602.609375,2064.290039
2015-12-24,63.04,17552.169922,2060.98999
2015-12-28,62.79,17528.269531,2056.5
2015-12-29,64.14,17720.980469,2078.360107
2015-12-30,63.43,17603.869141,2063.360107
2015-12-31,62.56,17425.029297,2043.939941
2016-01-04,63.37,17148.939453,2012.660034
2016-01-05,64.48,17158.660156,2016.709961
2016-01-06,63.83,16906.509766,1990.26001
2016-01-07,63.66,16514.099609,1943.089966
2016-01-08,61.5,16346.450195,1922.030029
2016-01-11,62.4,16398.570313,1923.670044
2016-01-12,63.21,16516.220703,1938.680054
2016-01-13,61.73,16151.410156,1890.280029
2016-01-14,60.67,16379.049805,1921.839966
2016-01-15,60.38,15988.080078,1880.329956
2016-01-19,59.66,16016.019531,1881.329956
2016-01-20,58.24,15766.740234,1859.329956
2016-01-21,59.14,15882.679688,1868.98999
2016-01-22,60.07,16093.509766,1906.900024
2016-01-25,59.38,15885.219727,1877.079956
2016-01-26,60.69,16167.230469,1903.630005
2016-01-27,60.91,15944.459961,1882.949951
2016-01-28,61.17,16069.639648,1893.359985
2016-01-29,62.4,16466.300781,1940.23999
2016-02-01,62.75,16449.179688,1939.380005
2016-02-02,63.17,16153.540039,1903.030029
2016-02-03,62.53,16336.660156,1912.530029
2016-02-04,60.35,16416.580078,1915.449951
2016-02-05,59.93,16204.969727,1880.050049
2016-02-08,60.31,16027.049805,1853.439941
2016-02-09,60.19,16014.379883,1852.209961
2016-02-10,59.25,15914.740234,1851.859985
2016-02-11,58.63,15660.179688,1829.079956
2016-02-12,60.77,15973.839844,1864.780029
2016-02-16,62.12,16196.410156,1895.579956
2016-02-17,62.64,16453.830078,1926.819946
2016-02-18,63.01,16413.429688,1917.829956
2016-02-19,62.83,16391.990234,1917.780029
2016-02-22,62.96,16620.660156,1945.5
2016-02-23,64.28,16431.779297,1921.27002
2016-02-24,66.84,16484.990234,1929.800049
2016-02-25,68.35,16697.289063,1951.699951
2016-02-26,68.14,16639.970703,1948.050049
2016-02-29,68.15,16516.5,1932.22998
2016-03-01,70.34,16865.080078,1978.349976
2016-03-02,70.46,16899.320313,1986.449951
2016-03-03,69.25,16943.900391,1993.400024
2016-03-04,70.48,17006.769531,1999.98999
2016-03-07,70.21,17073.949219,2001.76001
2016-03-08,69.96,16964.099609,1979.26001
2016-03-09,70.55,17000.359375,1989.26001
2016-03-10,70.8,16995.130859,1989.569946
2016-03-11,71.13,17213.310547,2022.189941
2016-03-14,71.04,17229.130859,2019.640015
2016-03-15,70.94,17251.529297,2015.930054
2016-03-16,71.58,17325.759766,2027.219971
2016-03-17,72.13,17481.490234,2040.589966
2016-03-18,71.86,17602.300781,2049.580078
2016-03-21,71.41,17623.869141,2051.600098
2016-03-22,70.98,17582.570313,2049.800049
2016-03-23,70.8,17502.589844,2036.709961
2016-03-24,71.27,17515.730469,2035.939941
2016-03-28,71.93,17535.390625,2037.050049
2016-03-29,72.08,17633.109375,2055.01001
2016-03-30,72.63,17716.660156,2063.949951
2016-03-31,71.48,17685.089844,2059.73999
2016-04-01,71.9,17792.75,2072.780029
2016-04-04,71.5,17737.0,2066.129883
2016-04-05,71.33,17603.320313,2045.170044
2016-04-06,71.39,17716.050781,2066.659912
2016-04-07,70.87,17541.960938,2041.910034
2016-04-08,70.27,17576.960938,2047.599976
2016-04-11,69.3,17556.410156,2041.98999
2016-04-12,70.18,17721.25,2061.719971
2016-04-13,70.86,17908.279297,2082.419922
2016-04-14,71.05,17926.429688,2082.780029
